image_path,card_name,card_number,card_set
dataset/Flashfire/Flashfire_Blacksmith_88a.jpg,Blacksmith,88a,Flashfire
dataset/Power Keepers/Power Keepers_Drake's Stadium_72.jpg,Drake's Stadium,72,Power Keepers
dataset/Generations/Generations_Poké Ball_67.jpg,Poké Ball,67,Generations
dataset/HS—Undaunted/HS—Undaunted_Team Rocket's Trickery_78.jpg,Team Rocket's Trickery,78,HS—Undaunted
dataset/Dragon Majesty/Dragon Majesty_Fiery Flint_76.jpg,Fiery Flint,76,Dragon Majesty
dataset/Team Rocket/Team Rocket_Imposter Oak's Revenge_76.jpg,Imposter Oak's Revenge,76,Team Rocket
dataset/Evolutions/Evolutions_Devolution Spray_76.jpg,Devolution Spray,76,Evolutions
dataset/HS—Unleashed/HS—Unleashed_Pokémon Circulator_81.jpg,Pokémon Circulator,81,HS—Unleashed
dataset/HS—Unleashed/HS—Unleashed_PlusPower_80.jpg,PlusPower,80,HS—Unleashed
dataset/Majestic Dawn/Majestic Dawn_Dawn Stadium_79.jpg,Dawn Stadium,79,Majestic Dawn
dataset/Team Magma vs Team Aqua/Team Magma vs Team Aqua_Team Magma Conspirator_82.jpg,Team Magma Conspirator,82,Team Magma vs Team Aqua
dataset/Ancient Origins/Ancient Origins_Dangerous Energy_82.jpg,Dangerous Energy,82,Ancient Origins
dataset/Majestic Dawn/Majestic Dawn_Energy Restore_81.jpg,Energy Restore,81,Majestic Dawn
dataset/Evolutions/Evolutions_Energy Retrieval_77.jpg,Energy Retrieval,77,Evolutions
dataset/Arceus/Arceus_Beginning Door_82.jpg,Beginning Door,82,Arceus
dataset/HS—Unleashed/HS—Unleashed_Super Scoop Up_83.jpg,Super Scoop Up,83,HS—Unleashed
dataset/Flashfire/Flashfire_Magnetic Storm_91.jpg,Magnetic Storm,91,Flashfire
dataset/Emerald/Emerald_Mr. Stone's Project_79.jpg,Mr. Stone's Project,79,Emerald
dataset/Emerald/Emerald_PokéNav_81.jpg,PokéNav,81,Emerald
dataset/HS—Unleashed/HS—Unleashed_Rare Candy_82.jpg,Rare Candy,82,HS—Unleashed
dataset/Team Rocket/Team Rocket_Sleep!_79.jpg,Sleep!,79,Team Rocket
dataset/Arceus/Arceus_Bench Shield_83.jpg,Bench Shield,83,Arceus
dataset/Power Keepers/Power Keepers_Energy Removal 2_74.jpg,Energy Removal 2,74,Power Keepers
dataset/Ancient Origins/Ancient Origins_Flash Energy_83.jpg,Flash Energy,83,Ancient Origins
dataset/Arceus/Arceus_Buffer Piece_84.jpg,Buffer Piece,84,Arceus
dataset/Flashfire/Flashfire_Pal Pad_92.jpg,Pal Pad,92,Flashfire
dataset/Next Destinies/Next Destinies_Cilan_86.jpg,Cilan,86,Next Destinies
dataset/Crystal Guardians/Crystal Guardians_Holon Circle_79.jpg,Holon Circle,79,Crystal Guardians
dataset/Power Keepers/Power Keepers_Energy Switch_75.jpg,Energy Switch,75,Power Keepers
dataset/Generations/Generations_Pokémon Fan Club_69.jpg,Pokémon Fan Club,69,Generations
dataset/Team Magma vs Team Aqua/Team Magma vs Team Aqua_Team Magma Hideout_83.jpg,Team Magma Hideout,83,Team Magma vs Team Aqua
dataset/Emerald/Emerald_Professor Birch_82.jpg,Professor Birch,82,Emerald
dataset/HeartGold & SoulSilver/HeartGold & SoulSilver_Copycat_90.jpg,Copycat,90,HeartGold & SoulSilver
dataset/HS—Undaunted/HS—Undaunted_Metal Energy_80.jpg,Metal Energy,80,HS—Undaunted
dataset/Unseen Forces/Unseen Forces_Energy Recycle System_81.jpg,Energy Recycle System,81,Unseen Forces
dataset/Neo Discovery/Neo Discovery_Ruin Wall_74.jpg,Ruin Wall,74,Neo Discovery
dataset/HeartGold & SoulSilver/HeartGold & SoulSilver_Bill_89.jpg,Bill,89,HeartGold & SoulSilver
dataset/Plasma Blast/Plasma Blast_Ultra Ball_90.jpg,Ultra Ball,90,Plasma Blast
dataset/Unseen Forces/Unseen Forces_Energy Removal 2_82.jpg,Energy Removal 2,82,Unseen Forces
dataset/Majestic Dawn/Majestic Dawn_Dusk Ball_80.jpg,Dusk Ball,80,Majestic Dawn
dataset/Base/Base_Pokémon Center_85.jpg,Pokémon Center,85,Base
dataset/Crystal Guardians/Crystal Guardians_Crystal Shard_76.jpg,Crystal Shard,76,Crystal Guardians
dataset/Dragon Frontiers/Dragon Frontiers_Buffer Piece_72.jpg,Buffer Piece,72,Dragon Frontiers
dataset/Flashfire/Flashfire_Pokémon Center Lady_93.jpg,Pokémon Center Lady,93,Flashfire
dataset/Power Keepers/Power Keepers_Energy Recycle System_73.jpg,Energy Recycle System,73,Power Keepers
dataset/Call of Legends/Call of Legends_Professor Elm's Training Method_82.jpg,Professor Elm's Training Method,82,Call of Legends
dataset/Team Magma vs Team Aqua/Team Magma vs Team Aqua_Warp Point_85.jpg,Warp Point,85,Team Magma vs Team Aqua
dataset/Power Keepers/Power Keepers_Glacia's Stadium_76.jpg,Glacia's Stadium,76,Power Keepers
dataset/Dragon/Dragon_Energy Recycle System_84.jpg,Energy Recycle System,84,Dragon
dataset/Plasma Blast/Plasma Blast_Plasma Energy_91.jpg,Plasma Energy,91,Plasma Blast
dataset/Base/Base_PlusPower_84.jpg,PlusPower,84,Base
dataset/Dragon/Dragon_Buffer Piece_83.jpg,Buffer Piece,83,Dragon
dataset/Crystal Guardians/Crystal Guardians_Memory Berry_80.jpg,Memory Berry,80,Crystal Guardians
dataset/Flashfire/Flashfire_Pokémon Fan Club_94.jpg,Pokémon Fan Club,94,Flashfire
dataset/Call of Legends/Call of Legends_Professor Oak's New Theory_83.jpg,Professor Oak's New Theory,83,Call of Legends
dataset/Generations/Generations_Revitalizer_70.jpg,Revitalizer,70,Generations
dataset/Next Destinies/Next Destinies_Exp. Share_87.jpg,Exp. Share,87,Next Destinies
dataset/Call of Legends/Call of Legends_Research Record_84.jpg,Research Record,84,Call of Legends
dataset/Evolutions/Evolutions_Full Heal_78.jpg,Full Heal,78,Evolutions
dataset/Evolutions/Evolutions_Maintenance_79.jpg,Maintenance,79,Evolutions
dataset/Neo Discovery/Neo Discovery_Energy Ark_75.jpg,Energy Ark,75,Neo Discovery
dataset/Shining Legends/Shining Legends_Pokémon Breeder_73.jpg,Pokémon Breeder,73,Shining Legends
dataset/Team Rocket/Team Rocket_Full Heal Energy_81.jpg,Full Heal Energy,81,Team Rocket
dataset/Unseen Forces/Unseen Forces_Energy Root_83.jpg,Energy Root,83,Unseen Forces
dataset/Dragon/Dragon_High Pressure System_85.jpg,High Pressure System,85,Dragon
dataset/Arceus/Arceus_Department Store Girl_85.jpg,Department Store Girl,85,Arceus
dataset/Team Rocket/Team Rocket_Potion Energy_82.jpg,Potion Energy,82,Team Rocket
dataset/Unseen Forces/Unseen Forces_Energy Switch_84.jpg,Energy Switch,84,Unseen Forces
dataset/Unseen Forces/Unseen Forces_Fluffy Berry_85.jpg,Fluffy Berry,85,Unseen Forces
dataset/Evolutions/Evolutions_Misty's Determination_80.jpg,Misty's Determination,80,Evolutions
dataset/Arceus/Arceus_Energy Restore_86.jpg,Energy Restore,86,Arceus
dataset/Generations/Generations_Shauna_72.jpg,Shauna,72,Generations
dataset/Flashfire/Flashfire_Protection Cube_95.jpg,Protection Cube,95,Flashfire
dataset/Holon Phantoms/Holon Phantoms_Holon Adventurer_85.jpg,Holon Adventurer,85,Holon Phantoms
dataset/Dragon/Dragon_Low Pressure System_86.jpg,Low Pressure System,86,Dragon
dataset/Arceus/Arceus_Expert Belt_87.jpg,Expert Belt,87,Arceus
dataset/SM Black Star Promos/SM Black Star Promos_Champions Festival_SM78.jpg,Champions Festival,SM78,SM Black Star Promos
dataset/Call of Legends/Call of Legends_Sage's Training_85.jpg,Sage's Training,85,Call of Legends
dataset/Emerald/Emerald_Rare Candy_83.jpg,Rare Candy,83,Emerald
dataset/HeartGold & SoulSilver/HeartGold & SoulSilver_Fisherman_92.jpg,Fisherman,92,HeartGold & SoulSilver
dataset/Generations/Generations_Red Card_71.jpg,Red Card,71,Generations
dataset/Dragon Frontiers/Dragon Frontiers_Copycat_73.jpg,Copycat,73,Dragon Frontiers
dataset/Power Keepers/Power Keepers_Great Ball_77.jpg,Great Ball,77,Power Keepers
dataset/Base/Base_Pokédex_87.jpg,Pokédex,87,Base
dataset/Team Magma vs Team Aqua/Team Magma vs Team Aqua_Aqua Energy_86.jpg,Aqua Energy,86,Team Magma vs Team Aqua
dataset/Dragon Frontiers/Dragon Frontiers_Holon Legacy_74.jpg,Holon Legacy,74,Dragon Frontiers
dataset/Majestic Dawn/Majestic Dawn_Fossil Excavator_82.jpg,Fossil Excavator,82,Majestic Dawn
dataset/Unseen Forces/Unseen Forces_Mary's Request_86.jpg,Mary's Request,86,Unseen Forces
dataset/Arceus/Arceus_Lucky Egg_88.jpg,Lucky Egg,88,Arceus
dataset/Next Destinies/Next Destinies_Heavy Ball_88.jpg,Heavy Ball,88,Next Destinies
dataset/Power Keepers/Power Keepers_Master Ball_78.jpg,Master Ball,78,Power Keepers
dataset/Deoxys/Deoxys_Balloon Berry_84.jpg,Balloon Berry,84,Deoxys
dataset/Team Magma vs Team Aqua/Team Magma vs Team Aqua_Magma Energy_87.jpg,Magma Energy,87,Team Magma vs Team Aqua
dataset/Base/Base_Pokémon Flute_86.jpg,Pokémon Flute,86,Base
dataset/Team Magma vs Team Aqua/Team Magma vs Team Aqua_Double Rainbow Energy_88.jpg,Double Rainbow Energy,88,Team Magma vs Team Aqua
dataset/Generations/Generations_Team Flare Grunt_73a.jpg,Team Flare Grunt,73a,Generations
dataset/Deoxys/Deoxys_Crystal Shard_85.jpg,Crystal Shard,85,Deoxys
dataset/Dragon Frontiers/Dragon Frontiers_Holon Mentor_75.jpg,Holon Mentor,75,Dragon Frontiers
dataset/Emerald/Emerald_Scott_84.jpg,Scott,84,Emerald
dataset/Team Rocket Returns/Team Rocket Returns_Copycat_83.jpg,Copycat,83,Team Rocket Returns
dataset/Evolutions/Evolutions_Pokédex_82.jpg,Pokédex,82,Evolutions
dataset/Evolutions/Evolutions_Pidgeot Spirit Link_81.jpg,Pidgeot Spirit Link,81,Evolutions
dataset/Base/Base_Professor Oak_88.jpg,Professor Oak,88,Base
dataset/Holon Phantoms/Holon Phantoms_Holon Fossil_86.jpg,Holon Fossil,86,Holon Phantoms
dataset/Next Destinies/Next Destinies_Pokémon Center_90.jpg,Pokémon Center,90,Next Destinies
dataset/Dragon/Dragon_TV Reporter_88.jpg,TV Reporter,88,Dragon
dataset/Flashfire/Flashfire_Sacred Ash_96.jpg,Sacred Ash,96,Flashfire
dataset/HeartGold & SoulSilver/HeartGold & SoulSilver_Full Heal_93.jpg,Full Heal,93,HeartGold & SoulSilver
dataset/Crystal Guardians/Crystal Guardians_Mysterious Shard_81.jpg,Mysterious Shard,81,Crystal Guardians
dataset/Next Destinies/Next Destinies_Level Ball_89.jpg,Level Ball,89,Next Destinies
dataset/Plasma Blast/Plasma Blast_Master Ball_94.jpg,Master Ball,94,Plasma Blast
dataset/Unseen Forces/Unseen Forces_Poké Ball_87.jpg,Poké Ball,87,Unseen Forces
dataset/Generations/Generations_Team Flare Grunt_73.jpg,Team Flare Grunt,73,Generations
dataset/Crystal Guardians/Crystal Guardians_Poké Ball_82.jpg,Poké Ball,82,Crystal Guardians
dataset/Flashfire/Flashfire_Startling Megaphone_97.jpg,Startling Megaphone,97,Flashfire
dataset/Base/Base_Revive_89.jpg,Revive,89,Base
dataset/Team Rocket Returns/Team Rocket Returns_Pokémon Retriever_84.jpg,Pokémon Retriever,84,Team Rocket Returns
dataset/Roaring Skies/Roaring Skies_Healing Scarf_84.jpg,Healing Scarf,84,Roaring Skies
dataset/Call of Legends/Call of Legends_Darkness Energy_86.jpg,Darkness Energy,86,Call of Legends
dataset/Power Keepers/Power Keepers_Phoebe's Stadium_79.jpg,Phoebe's Stadium,79,Power Keepers
dataset/Dragon/Dragon_Mr. Briney's Compassion_87.jpg,Mr. Briney's Compassion,87,Dragon
dataset/Deoxys/Deoxys_Energy Charge_86.jpg,Energy Charge,86,Deoxys
dataset/Team Rocket/Team Rocket_Rainbow Energy_80.jpg,Rainbow Energy,80,Team Rocket
dataset/Team Rocket Returns/Team Rocket Returns_Rocket's Admin._86.jpg,Rocket's Admin.,86,Team Rocket Returns
dataset/Crystal Guardians/Crystal Guardians_Energy Search_86.jpg,Energy Search,86,Crystal Guardians
dataset/Deoxys/Deoxys_Meteor Falls_89.jpg,Meteor Falls,89,Deoxys
dataset/Evolutions/Evolutions_Slowbro Spirit Link_86.jpg,Slowbro Spirit Link,86,Evolutions
dataset/FireRed & LeafGreen/FireRed & LeafGreen_Celio's Network_88.jpg,Celio's Network,88,FireRed & LeafGreen
dataset/Holon Phantoms/Holon Phantoms_Professor Cozmo's Discovery_89.jpg,Professor Cozmo's Discovery,89,Holon Phantoms
dataset/Unseen Forces/Unseen Forces_Professor Elm's Training Method_89.jpg,Professor Elm's Training Method,89,Unseen Forces
dataset/FireRed & LeafGreen/FireRed & LeafGreen_Bill's Maintenance_87.jpg,Bill's Maintenance,87,FireRed & LeafGreen
dataset/HeartGold & SoulSilver/HeartGold & SoulSilver_Poké Ball_95.jpg,Poké Ball,95,HeartGold & SoulSilver
dataset/Evolutions/Evolutions_Professor Oak's Hint_84.jpg,Professor Oak's Hint,84,Evolutions
dataset/Plasma Blast/Plasma Blast_Scoop Up Cyclone_95.jpg,Scoop Up Cyclone,95,Plasma Blast
dataset/Next Destinies/Next Destinies_Skyarrow Bridge_91.jpg,Skyarrow Bridge,91,Next Destinies
dataset/Roaring Skies/Roaring Skies_Gallade Spirit Link_83.jpg,Gallade Spirit Link,83,Roaring Skies
dataset/Dragon Frontiers/Dragon Frontiers_Old Rod_78.jpg,Old Rod,78,Dragon Frontiers
dataset/Power Keepers/Power Keepers_Professor Birch_80.jpg,Professor Birch,80,Power Keepers
dataset/Evolutions/Evolutions_Potion_83.jpg,Potion,83,Evolutions
dataset/HeartGold & SoulSilver/HeartGold & SoulSilver_Moomoo Milk_94.jpg,Moomoo Milk,94,HeartGold & SoulSilver
dataset/Flashfire/Flashfire_Trick Shovel_98.jpg,Trick Shovel,98,Flashfire
dataset/Call of Legends/Call of Legends_Grass Energy_88.jpg,Grass Energy,88,Call of Legends
dataset/Dragon Frontiers/Dragon Frontiers_Mr. Stone's Project_77.jpg,Mr. Stone's Project,77,Dragon Frontiers
dataset/Base/Base_Super Potion_90.jpg,Super Potion,90,Base
dataset/Generations/Generations_Double Colorless Energy_74.jpg,Double Colorless Energy,74,Generations
dataset/Base/Base_Bill_91.jpg,Bill,91,Base
dataset/Evolutions/Evolutions_Revive_85.jpg,Revive,85,Evolutions
dataset/Rising Rivals/Rising Rivals_Aaron's Collection_88.jpg,Aaron's Collection,88,Rising Rivals
dataset/Flashfire/Flashfire_Ultra Ball_99.jpg,Ultra Ball,99,Flashfire
dataset/HeartGold & SoulSilver/HeartGold & SoulSilver_Energy Switch_91.jpg,Energy Switch,91,HeartGold & SoulSilver
dataset/Arceus/Arceus_Ultimate Zone_91.jpg,Ultimate Zone,91,Arceus
dataset/Team Rocket Returns/Team Rocket Returns_Rocket's Hideout_87.jpg,Rocket's Hideout,87,Team Rocket Returns
dataset/Call of Legends/Call of Legends_Fire Energy_89.jpg,Fire Energy,89,Call of Legends
dataset/HS—Triumphant/HS—Triumphant_Indigo Plateau_86.jpg,Indigo Plateau,86,HS—Triumphant
dataset/Neo Genesis/Neo Genesis_Arcade Game_83.jpg,Arcade Game,83,Neo Genesis
dataset/Generations/Generations_Fire Energy_76.jpg,Fire Energy,76,Generations
dataset/Unseen Forces/Unseen Forces_Protective Orb_90.jpg,Protective Orb,90,Unseen Forces
dataset/Majestic Dawn/Majestic Dawn_Quick Ball_86.jpg,Quick Ball,86,Majestic Dawn
dataset/Call of Legends/Call of Legends_Water Energy_90.jpg,Water Energy,90,Call of Legends
dataset/HS—Triumphant/HS—Triumphant_Black Belt_85.jpg,Black Belt,85,HS—Triumphant
dataset/Dragon Frontiers/Dragon Frontiers_Island Hermit_76.jpg,Island Hermit,76,Dragon Frontiers
dataset/Evolutions/Evolutions_Super Potion_87.jpg,Super Potion,87,Evolutions
dataset/FireRed & LeafGreen/FireRed & LeafGreen_Energy Removal 2_89.jpg,Energy Removal 2,89,FireRed & LeafGreen
dataset/Emerald/Emerald_Wally's Training_85.jpg,Wally's Training,85,Emerald
dataset/Hidden Fates Shiny Vault/Hidden Fates Shiny Vault_Cynthia_SV82.jpg,Cynthia,SV82,Hidden Fates Shiny Vault
dataset/Crystal Guardians/Crystal Guardians_PokéNav_83.jpg,PokéNav,83,Crystal Guardians
dataset/Deoxys/Deoxys_Lady Outing_87.jpg,Lady Outing,87,Deoxys
dataset/Crystal Guardians/Crystal Guardians_Windstorm_85.jpg,Windstorm,85,Crystal Guardians
dataset/Holon Phantoms/Holon Phantoms_Rare Candy_90.jpg,Rare Candy,90,Holon Phantoms
dataset/Emerald/Emerald_Double Rainbow Energy_87.jpg,Double Rainbow Energy,87,Emerald
dataset/Next Destinies/Next Destinies_Prism Energy_93.jpg,Prism Energy,93,Next Destinies
dataset/Majestic Dawn/Majestic Dawn_Poké Ball_85.jpg,Poké Ball,85,Majestic Dawn
dataset/HeartGold & SoulSilver/HeartGold & SoulSilver_Pokégear 3.0_96.jpg,Pokégear 3.0,96,HeartGold & SoulSilver
dataset/Roaring Skies/Roaring Skies_Latios Spirit Link_85.jpg,Latios Spirit Link,85,Roaring Skies
dataset/Holon Phantoms/Holon Phantoms_Mr. Stone's Project_88.jpg,Mr. Stone's Project,88,Holon Phantoms
dataset/Crystal Guardians/Crystal Guardians_Warp Point_84.jpg,Warp Point,84,Crystal Guardians
dataset/Deoxys/Deoxys_Master Ball_88.jpg,Master Ball,88,Deoxys
dataset/Team Rocket Returns/Team Rocket Returns_Pow! Hand Extension_85.jpg,Pow! Hand Extension,85,Team Rocket Returns
dataset/Power Keepers/Power Keepers_Scott_81.jpg,Scott,81,Power Keepers
dataset/Hidden Fates Shiny Vault/Hidden Fates Shiny Vault_Hiker_SV85.jpg,Hiker,SV85,Hidden Fates Shiny Vault
dataset/Roaring Skies/Roaring Skies_Mega Turbo_86.jpg,Mega Turbo,86,Roaring Skies
dataset/Rising Rivals/Rising Rivals_Bebe's Search_89.jpg,Bebe's Search,89,Rising Rivals
dataset/Emerald/Emerald_Metal Energy_88.jpg,Metal Energy,88,Emerald
dataset/Call of Legends/Call of Legends_Metal Energy_87.jpg,Metal Energy,87,Call of Legends
dataset/HS—Triumphant/HS—Triumphant_Junk Arm_87.jpg,Junk Arm,87,HS—Triumphant
dataset/Emerald/Emerald_Darkness Energy_86.jpg,Darkness Energy,86,Emerald
dataset/HeartGold & SoulSilver/HeartGold & SoulSilver_Pokémon Collector_97.jpg,Pokémon Collector,97,HeartGold & SoulSilver
dataset/Hidden Fates Shiny Vault/Hidden Fates Shiny Vault_Guzma_SV84.jpg,Guzma,SV84,Hidden Fates Shiny Vault
dataset/Base/Base_Energy Removal_92.jpg,Energy Removal,92,Base
dataset/Roaring Skies/Roaring Skies_Rayquaza Spirit Link_87.jpg,Rayquaza Spirit Link,87,Roaring Skies
dataset/HS—Triumphant/HS—Triumphant_Seeker_88.jpg,Seeker,88,HS—Triumphant
dataset/Generations/Generations_Grass Energy_75.jpg,Grass Energy,75,Generations
dataset/Team Rocket Returns/Team Rocket Returns_Rocket's Mission_88.jpg,Rocket's Mission,88,Team Rocket Returns
dataset/Dragon Frontiers/Dragon Frontiers_Professor Elm's Training Method_79.jpg,Professor Elm's Training Method,79,Dragon Frontiers
dataset/HeartGold & SoulSilver/HeartGold & SoulSilver_Pokémon Communication_98.jpg,Pokémon Communication,98,HeartGold & SoulSilver
dataset/Hidden Fates Shiny Vault/Hidden Fates Shiny Vault_Fisherman_SV83.jpg,Fisherman,SV83,Hidden Fates Shiny Vault
dataset/Power Keepers/Power Keepers_Sidney's Stadium_82.jpg,Sidney's Stadium,82,Power Keepers
dataset/HS—Triumphant/HS—Triumphant_Twins_89.jpg,Twins,89,HS—Triumphant
dataset/Deoxys/Deoxys_Professor Cozmo's Discovery_90.jpg,Professor Cozmo's Discovery,90,Deoxys
dataset/Hidden Fates Shiny Vault/Hidden Fates Shiny Vault_Aether Foundation Employee_SV81.jpg,Aether Foundation Employee,SV81,Hidden Fates Shiny Vault
dataset/Unseen Forces/Unseen Forces_Pokémon Reversal_88.jpg,Pokémon Reversal,88,Unseen Forces
dataset/Majestic Dawn/Majestic Dawn_Mom's Kindness_83.jpg,Mom's Kindness,83,Majestic Dawn
dataset/Hidden Fates Shiny Vault/Hidden Fates Shiny Vault_Lady_SV86.jpg,Lady,SV86,Hidden Fates Shiny Vault
dataset/Majestic Dawn/Majestic Dawn_Super Scoop Up_87.jpg,Super Scoop Up,87,Majestic Dawn
dataset/Base/Base_Switch_95.jpg,Switch,95,Base
dataset/Ruby & Sapphire/Ruby & Sapphire_Energy Removal 2_80.jpg,Energy Removal 2,80,Ruby & Sapphire
dataset/Call of Legends/Call of Legends_Psychic Energy_92.jpg,Psychic Energy,92,Call of Legends
dataset/Hidden Fates Shiny Vault/Hidden Fates Shiny Vault_Aether Paradise Conservation Area_SV87.jpg,Aether Paradise Conservation Area,SV87,Hidden Fates Shiny Vault
dataset/Call of Legends/Call of Legends_Lightning Energy_91.jpg,Lightning Energy,91,Call of Legends
dataset/Generations/Generations_Lightning Energy_78.jpg,Lightning Energy,78,Generations
dataset/Unseen Forces/Unseen Forces_Sitrus Berry_91.jpg,Sitrus Berry,91,Unseen Forces
dataset/Noble Victories/Noble Victories_Cover Fossil_90.jpg,Cover Fossil,90,Noble Victories
dataset/Neo Genesis/Neo Genesis_Energy Charge_85.jpg,Energy Charge,85,Neo Genesis
dataset/Dragon Frontiers/Dragon Frontiers_Professor Oak's Research_80.jpg,Professor Oak's Research,80,Dragon Frontiers
dataset/Neo Genesis/Neo Genesis_Ecogym_84.jpg,Ecogym,84,Neo Genesis
dataset/Base/Base_Gust of Wind_93.jpg,Gust of Wind,93,Base
dataset/Base/Base_Potion_94.jpg,Potion,94,Base
dataset/Stormfront/Stormfront_Energy Link_83.jpg,Energy Link,83,Stormfront
dataset/Unseen Forces/Unseen Forces_Solid Rage_92.jpg,Solid Rage,92,Unseen Forces
dataset/FireRed & LeafGreen/FireRed & LeafGreen_Energy Switch_90.jpg,Energy Switch,90,FireRed & LeafGreen
dataset/Crystal Guardians/Crystal Guardians_Potion_87.jpg,Potion,87,Crystal Guardians
dataset/Arceus/Arceus_Professor Oak's Visit_90.jpg,Professor Oak's Visit,90,Arceus
dataset/Crystal Guardians/Crystal Guardians_Double Rainbow Energy_88.jpg,Double Rainbow Energy,88,Crystal Guardians
dataset/Neo Destiny/Neo Destiny_Broken Ground Gym_92.jpg,Broken Ground Gym,92,Neo Destiny
